cert,year,set,name,number,grade,grader,your_price
93059213,2022,Brilliant Stars,FA Charizard V,154,GEM MT 10,PSA,950
98517579,2017,XY Premium Trainer Collection Promo,FA Shaymin EX,77a,NM-MT 8,PSA,330
6136935033,2023,Celebrations Classic Collection,Umbreon Gold Star,17,PRISTINE 10,CGC,435
97957537,2018,Pokemon Center 20th Anniversary (Japanese SM Promo),Red's Pikachu,270,GEM MT 10,PSA,1300
146059525,2023,World Championships 2023 (Japanese),Pikachu ex,001,GEM MT 10,PSA,830
61407202,2002,Neo Destiny,Dark Gengar Holo,6,EX-MT 6,PSA,450
95276041,2023,Obsidian Flames,Charizard ex (Ultra Rare),215,GEM MT 10,PSA,215
112214360,2023,Obsidian Flames,Pidgeotto (Illustration Rare),208,GEM MT 10,PSA,280
92889917,2023,Pokemon Card 151 (Japanese SV1a),Magikarp (Art Rare),080,GEM MT 10,PSA,325
6130902118,2014,Black Star Promos (Japanese),Mega Charizard X ex,XY-P,PRISTINE 10,CGC,310
101757294,2016,XY Generations,M Charizard EX,12,NM 7,PSA,125
56731424,1999,Fossil,Hypno Holo,8,MINT 9,PSA,130
118341038,2025,Journey Together,Lillie's Clefairy ex (Special Illustration Rare),184,MINT 9,PSA,140
73843148,2022,Pokemon GO Premium Collection (SWSH BSP),Radiant Eevee,230,GEM MT 10,PSA,180
3914522049,2000,Neo Genesis,Feraligatr Holo,5,NM-MT+ 8.5,CGC,200
72016903,2016,XY Evolutions,Charizard (Reverse Foil),11,MINT 9,PSA,200
4322429002,2023,Scarlet & Violet Promos (Japanese),Eevee (Yu Nagaba illustrator),001,PRISTINE 10,CGC,270
143540438,2025,Prismatic Evolutions,Roaring Moon ex (Special Illustration Rare),162,GEM MT 10,PSA,850
